"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income"
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1150
"FEMALE","35-44","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",600
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",1700
"FEMALE","45-59","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",17,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"MALE","60-64","SECONDARY","RETIRED","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2536
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"IT`S DIFFICULT TO TELL","NO OPINION","NO",1500
"FEMALE","45-59","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",450
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",3,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","65+","SECONDARY","RETIRED","MARRIED",15,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1500
"FEMALE","45-59","SECONDARY","LONG-TERM SICK/DISABLED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",600
"MALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","WIDOWED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",3500
"MALE","25-34","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8
"FEMALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",2500
"MALE","65+","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","16-24","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1500
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"MALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",4000
"MALE","65+","SECONDARY","RETIRED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1999
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO",1547
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",18,"MOST PEOPLE CAN BE TRUSTED","YES","YES",950
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","WIDOWED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",3900
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",11,"IT`S DIFFICULT TO TELL","YES","YES",1800
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2000
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",NA,"IT`S DIFFICULT TO TELL","YES","NO OPINION",1000
"MALE","45-59","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",1620
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",10,"MOST PEOPLE CAN BE TRUSTED","YES","NO",1400
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",4500
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1800
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",2500
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",6,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1450
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"IT`S DIFFICULT TO TELL","NO","NO",NA
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1450
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",1200
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1300
"FEMALE","60-64","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",5000
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",-8
"FEMALE","45-59","SECONDARY","PUPIL OR STUDENT","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1400
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1670
"FEMALE","35-44","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",1450
"FEMALE","25-34","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",3,"IT`S DIFFICULT TO TELL","YES","YES",1180
"FEMALE","35-44","PRIMARY/NO EDUCATION","FARMER","MARRIED",13,"ONE CAN`T BE TOO CAREFUL","NO","NO OPINION",2200
"MALE","25-34","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8
"MALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",3500
"FEMALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",4,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","35-44","VOCATIONAL/GRAMMAR","FARMER","DIVORCED",2,"IT`S DIFFICULT TO TELL","NO","YES",-8
"FEMALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",6,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"FEMALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","WIDOWED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",11,"IT`S DIFFICULT TO TELL","NO","NO",1100
"MALE","65+","SECONDARY","RETIRED","MARRIED",6,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1800
"FEMALE","35-44","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1800
"MALE","65+","SECONDARY","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1400
"MALE","45-59","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",800
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","35-44","SECONDARY","EMPLOYED IN PUBLIC SECTOR","DIVORCED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2500
"FEMALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",17,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1130
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1350
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1320
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",900
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1920
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",6000
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",8,"IT`S DIFFICULT TO TELL","YES","YES",700
"MALE","65+","SECONDARY","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL",NA,NA,2000
"FEMALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO",1600
"FEMALE","60-64","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",5,"IT`S DIFFICULT TO TELL","YES","NO",1200
"FEMALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1700
"FEMALE","35-44","SECONDARY","PUPIL OR STUDENT","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES",736
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","NO","NO",1850
"FEMALE","60-64","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",6,"IT`S DIFFICULT TO TELL","NO","NO OPINION",4000
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",NA,"ONE CAN`T BE TOO CAREFUL","NO","NO",1750
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1796
"FEMALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",300
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",11,"ONE CAN`T BE TOO CAREFUL","NO","NO",1400
"MALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",2,"IT`S DIFFICULT TO TELL","YES","YES",1500
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1100
"MALE","35-44","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",520
"FEMALE","60-64","SECONDARY","RETIRED","SINGLE",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",7,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1200
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",NA,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8
"MALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",1000
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",14,"ONE CAN`T BE TOO CAREFUL","YES","NO",1118
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",860
"FEMALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",450
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO",NA
"MALE","65+","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","WIDOWED",11,"IT`S DIFFICULT TO TELL","YES","YES",1200
"MALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",9,"IT`S DIFFICULT TO TELL","YES","YES",900
"MALE","25-34","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","SINGLE",NA,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1700
"FEMALE","45-59","SECONDARY","LONG-TERM SICK/DISABLED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",1036
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",5000
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",2000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","DIVORCED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",1300
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",158
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",6000
"MALE","45-59","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2500
"MALE","16-24","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1380
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",-8
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","WIDOWED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1950
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"MALE","25-34","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",3000
"MALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES",920
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3500
